ID,Marital Status,Gender,Income,Children,Occupation,Commute Distance,Region,Age,Purchased Bike,Extra_Info
12496,Married,Male,40000.0,1,Skilled Manual,0-1 Miles,Europe,42,No,Imported_from_other_source
24107,Married,Female,30000.0,3,Clerical,0-1 Miles,Europe,43,No,
14177,Married,Male,80000.0,5,Clerical,2-5 Miles,Europe,60,No,
24381,Single,Female,70000.0,0,Professional,5-10 Miles,Europe,41,Yes,
25597,Single,Male,30000.0,0,Clerical,0-1 Miles,Europe,36,Yes,
13507,Married,Female,45000.0,2,Manual,1-2 Miles,Europe,50,No,
27974,Single,Male,160000.0,2,Management,0-1 Miles,Pacific,33,Yes,
19364,Married,Male,40000.0,1,Skilled Manual,0-1 Miles,Europe,43,Yes,
22155,Single,Male,20000.0,2,Clerical,5-10 Miles,Pacific,58,No,
19280,Married,Male,13333.33,2,Manual,0-1 Miles,Europe,48,Yes,
22173,Married,Female,30000.0,3,Skilled Manual,1-2 Miles,Pacific,54,Yes,
12697,Single,Female,90000.0,0,Professional,10+ Miles,Pacific,36,No,
11434,Married,Male,170000.0,5,Professional,0-1 Miles,Europe,55,No,
25323,Married,Male,40000.0,2,Clerical,1-2 Miles,Europe,35,Yes,
23542,Single,Male,60000.0,1,Skilled Manual,0-1 Miles,Pacific,45,Yes,
20870,Single,Female,10000.0,2,Manual,0-1 Miles,Europe,38,Yes,
23316,Single,Male,30000.0,3,Clerical,1-2 Miles,Pacific,59,Yes,
12610,Married,Female,30000.0,1,Clerical,0-1 Miles,Europe,47,No,
27183,Single,Male,40000.0,2,Clerical,1-2 Miles,Europe,35,Yes,
25940,Single,Male,20000.0,2,Clerical,5-10 Miles,Pacific,55,Yes,
25598,Married,Female,40000.0,0,Clerical,0-1 Miles,Europe,36,Yes,
21564,Single,Female,80000.0,0,Professional,10+ Miles,Pacific,35,No,
19193,Single,Male,40000.0,2,Clerical,1-2 Miles,Europe,35,Yes,
26412,Married,Female,80000.0,5,Management,5-10 Miles,Europe,56,No,
27184,Single,Male,40000.0,2,Clerical,0-1 Miles,Europe,34,No,
